ChEMBL_ID,Name,SMILES,MW,Source,Tanimoto_MaxSim,Best_Match_Ref,P_EGFR_active,QED,Repurposing_Score
CHEMBL738,THIOPENTAL SODIUM,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+],264.33,ChEMBL,0.0571,Erlotinib,0.0791,0.4082,0.1361
CHEMBL495,ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,354.49,ChEMBL,0.0652,Afatinib,0.1011,0.3476,0.136
CHEMBL706,CETYL ALCOHOL,CCCCCCCCCCCCCCCCO,242.45,ChEMBL,0.0854,Erlotinib,0.0529,0.401,0.1355
CHEMBL494,ILOPROST,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,360.49,ChEMBL,0.0679,Osimertinib,0.0834,0.3514,0.1308
CHEMBL815,DINOPROST,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,354.49,ChEMBL,0.0652,Afatinib,0.1011,0.3189,0.1303
CHEMBL15891,LINDANE,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,290.83,ChEMBL,0.0112,Gefitinib,0.0045,0.5976,0.1258
CHEMBL780,PENTETIC ACID,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,393.35,ChEMBL,0.0517,Osimertinib,0.1707,0.1819,0.1253
CHEMBL148,IMIPENEM ANHYDROUS,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,299.35,ChEMBL,0.0758,Afatinib,0.1241,0.2245,0.1249
CHEMBL719,MUPIROCIN,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,500.63,ChEMBL,0.0719,Afatinib,0.1788,0.1087,0.122
CHEMBL675,ALENDRONATE SODIUM,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],271.08,ChEMBL,0.0566,Afatinib,0.1164,0.245,0.1182
CHEMBL30219,METHOHEXITAL SODIUM,C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O.[Na+],284.29,ChEMBL,0.0699,Osimertinib,0.0842,0.2453,0.1107
CHEMBL125,MILTEFOSINE,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,407.58,ChEMBL,0.0789,Gefitinib,0.1066,0.1481,0.1038
